Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-28 21:00:00,Espanol,Real Madrid,1,3,A,6.63,4.83,1.46,1.61,2.33,1471.9,1542.45,-70.54,1.0,2.0,0,1,1,3.0,1.0,2,0,0,0,0,0,0.0,0.0
2022-08-29 19:00:00,Cadiz,Ath Bilbao,0,4,A,3.78,3.11,2.18,2.52,1.53,1458.2,1528.74,-70.55,0.0,1.5,0,0,2,0.5,0.0,1,1,0,0,0,0,0.0,0.0
2022-08-29 21:00:00,Valencia,Ath Madrid,0,1,A,4.02,3.33,2.03,2.25,1.66,1484.38,1514.97,-30.59,0.5,0.5,1,0,1,1.5,1.0,1,0,1,0,0,0,0.0,0.0
2022-09-02 20:00:00,Celta,Cadiz,3,0,H,1.67,3.65,5.93,2.32,1.62,1514.42,1445.05,69.37,1.33,2.0,1,1,1,0.0,2.33,0,0,3,0,0,0,0.0,0.0
2022-09-03 13:00:00,Mallorca,Girona,1,1,D,2.17,3.16,3.79,2.37,1.6,1501.16,1485.14,16.02,1.0,0.67,1,1,1,1.0,1.0,1,0,2,0,0,0,0.0,0.0
2022-09-03 15:15:00,Real Madrid,Betis,2,1,H,1.43,5.13,6.82,1.46,2.71,1557.53,1529.24,28.29,3.0,1.0,3,0,0,2.0,0.33,3,0,0,0,0,0,0.0,0.0
2022-09-03 17:30:00,Sociedad,Ath Madrid,1,1,D,2.96,3.17,2.58,2.31,1.63,1513.79,1514.92,-1.13,1.0,1.33,2,0,1,1.33,0.67,2,0,1,0,0,0,0.0,0.0
2022-09-03 20:00:00,Sevilla,Barcelona,0,3,A,4.48,3.74,1.82,1.79,2.05,1457.54,1541.79,-84.25,1.0,1.67,0,1,2,2.67,0.33,2,1,0,0,0,0,0.0,0.0
2022-09-04 13:00:00,Osasuna,Vallecano,2,1,H,2.06,3.13,4.23,2.33,1.61,1528.09,1484.38,43.71,1.33,0.67,2,0,1,0.67,0.67,1,1,1,0,0,0,0.0,0.0
2022-09-04 15:15:00,Ath Bilbao,Espanol,0,1,A,1.57,3.98,6.46,2.06,1.78,1511.31,1489.34,21.97,1.67,0.0,2,1,0,1.0,2.33,0,1,2,0,0,0,0.0,0.0
2022-09-04 17:30:00,Villarreal,Elche,4,0,H,1.35,5.08,9.56,1.73,2.13,1540.0,1458.05,81.95,1.67,0.0,2,1,0,0.33,1.67,0,1,2,0,0,0,0.0,0.0
2022-09-04 20:00:00,Valencia,Getafe,5,1,H,1.96,3.2,4.52,2.62,1.48,1498.87,1458.07,40.8,0.33,0.67,1,0,2,0.33,2.0,0,1,2,0,0,0,0.0,0.0
2022-09-05 20:00:00,Valladolid,Almeria,1,0,H,2.34,3.3,3.19,2.09,1.76,1487.56,1483.76,3.79,0.33,2.67,0,1,2,1.33,1.33,1,1,1,0,0,0,0.0,0.0
