Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-21 19:45:00,Lille,Paris SG,1,7,A,6.33,4.68,1.48,1.56,2.42,1500.03,1544.32,-44.3,2.5,1.0,1,1,0,5.0,1.0,2,0,0,0,0,0,0.0,0.0
2022-08-26 20:00:00,Ajaccio,Lille,1,3,A,3.46,3.18,2.26,2.38,1.59,1457.53,1513.79,-56.26,0.67,1.33,0,1,2,2.0,3.0,1,1,1,0,0,0,0.0,0.0
2022-08-27 16:00:00,Auxerre,Strasbourg,1,0,H,3.59,3.47,2.08,1.87,1.96,1515.56,1470.68,44.89,1.67,2.33,1,1,1,1.0,1.33,0,2,1,0,0,0,0.0,0.0
2022-08-27 20:00:00,Lens,Rennes,2,1,H,2.54,3.52,2.72,1.72,2.14,1542.53,1487.47,55.05,2.33,1.0,2,1,0,1.0,1.0,1,1,1,0,0,0,0.0,0.0
2022-08-28 12:00:00,Nantes,Toulouse,3,1,H,2.4,3.35,3.02,1.91,1.91,1502.42,1498.17,4.26,0.67,1.0,0,2,1,2.0,1.0,1,2,0,0,0,0,0.0,0.0
2022-08-28 14:00:00,Nice,Marseille,0,3,A,2.78,3.46,2.54,1.94,1.88,1471.26,1541.26,-70.0,0.67,1.0,0,2,1,2.33,1.0,2,1,0,0,0,0,0.0,0.0
2022-08-28 14:00:00,Brest,Montpellier,0,7,A,1.92,3.66,3.98,1.73,2.13,1486.1,1500.13,-14.03,2.0,1.67,1,1,1,2.0,3.0,1,0,2,0,0,0,0.0,0.0
2022-08-28 14:00:00,Lorient,Clermont,2,1,H,2.06,3.45,3.68,2.01,1.82,1529.97,1499.97,30.0,1.5,1.0,1,1,0,1.67,2.33,2,0,1,0,0,0,0.0,0.0
2022-08-28 14:00:00,Troyes,Angers,3,1,H,2.47,3.33,2.93,2.07,1.77,1473.68,1467.66,6.02,1.0,3.33,0,0,3,1.0,1.67,0,2,1,0,0,0,0.0,0.0
2022-08-28 16:05:00,Reims,Lyon,1,1,D,4.28,4.03,1.77,1.64,2.27,1473.13,1525.64,-52.51,1.33,3.0,0,1,2,3.0,1.0,2,0,0,0,0,0,0.0,0.0
