Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2022-08-26 19:30:00,Freiburg,Bochum,1,0,H,1.51,4.66,6.13,1.61,2.34,1527.54,1445.0,82.55,2.0,1.0,2,0,1,1.0,4.0,0,0,3,0,0,0,0.0,0.0
2022-08-27 14:30:00,Hoffenheim,Augsburg,1,0,H,1.47,4.86,6.43,1.47,2.71,1527.5,1471.86,55.64,2.33,1.67,2,0,1,1.0,2.33,1,0,2,0,0,0,0.0,0.0
2022-08-27 14:30:00,Hertha,Dortmund,0,1,A,4.44,4.45,1.69,1.48,2.66,1458.06,1526.88,-68.82,0.67,1.67,0,1,2,2.0,1.33,2,0,1,0,0,0,0.0,0.0
2022-08-27 14:30:00,Schalke 04,Union Berlin,1,6,A,3.08,3.44,2.34,1.9,1.89,1473.12,1542.53,-69.41,1.0,1.67,0,2,1,1.67,0.67,2,1,0,0,0,0,0.0,0.0
2022-08-27 14:30:00,RB Leipzig,Wolfsburg,2,0,H,1.49,4.6,6.46,1.59,2.39,1501.24,1470.7,30.54,1.33,1.67,0,2,1,0.67,1.33,0,2,1,0,0,0,0.0,0.0
2022-08-27 14:30:00,Mainz,Leverkusen,0,3,A,2.72,3.74,2.45,1.61,2.34,1511.24,1474.4,36.84,1.33,0.67,2,1,0,0.33,2.0,0,0,3,0,0,0,0.0,0.0
2022-08-27 17:30:00,Bayern Munich,M'gladbach,1,1,D,1.19,8.16,12.66,1.2,4.65,1541.2,1528.09,13.11,5.0,0.33,3,0,0,2.0,1.0,2,1,0,0,0,0,0.0,0.0
2022-08-28 14:30:00,FC Koln,Stuttgart,0,0,D,2.1,3.69,3.38,1.68,2.21,1511.88,1486.21,25.67,2.0,1.33,1,2,0,1.0,1.33,0,2,1,0,0,0,0.0,0.0
2022-08-28 16:30:00,Werder Bremen,Ein Frankfurt,3,4,A,2.51,3.58,2.74,1.63,2.31,1500.0,1502.56,-2.56,2.33,2.0,1,2,0,1.0,2.67,0,2,1,0,0,0,0.0,0.0
2022-09-02 19:30:00,Dortmund,Hoffenheim,1,0,H,1.66,4.54,4.59,1.39,3.04,1541.91,1512.47,29.44,1.75,1.0,3,0,1,2.0,1.25,3,0,1,0,0,0,0.0,0.0
2022-09-03 14:30:00,Wolfsburg,FC Koln,2,4,A,2.12,3.52,3.49,1.77,2.08,1457.47,1525.11,-67.64,0.5,1.5,0,2,2,1.5,1.0,1,3,0,0,0,0,0.0,0.0
2022-09-03 14:30:00,Union Berlin,Bayern Munich,1,1,D,7.43,5.54,1.38,1.42,2.88,1542.47,1541.25,1.22,2.75,0.75,3,1,0,4.0,0.5,3,1,0,0,0,0,0.0,0.0
2022-09-03 14:30:00,Stuttgart,Schalke 04,1,1,D,1.78,4.01,4.32,1.7,2.18,1485.65,1473.68,11.96,0.75,1.0,0,3,1,1.0,2.75,0,2,2,0,0,0,0.0,0.0
2022-09-03 14:30:00,Bochum,Werder Bremen,0,2,A,2.92,3.65,2.35,1.67,2.23,1432.35,1512.64,-80.29,0.75,3.25,0,0,4,2.5,2.5,1,2,1,0,0,0,0.0,0.0
2022-09-03 14:30:00,Leverkusen,Freiburg,2,3,A,1.92,3.88,3.81,1.55,2.46,1461.68,1540.26,-78.59,1.0,1.5,1,0,3,1.75,0.75,3,0,1,0,0,0,0.0,0.0
2022-09-03 17:30:00,Ein Frankfurt,RB Leipzig,4,0,H,3.56,3.74,2.03,1.61,2.35,1517.5,1486.3,31.2,1.75,2.75,1,2,1,1.5,1.25,1,2,1,0,0,0,0.0,0.0
2022-09-04 14:30:00,Augsburg,Hertha,0,2,A,2.54,3.37,2.84,1.86,1.96,1456.26,1473.66,-17.4,0.75,2.0,1,0,3,0.5,1.5,0,1,3,0,0,0,0.0,0.0
2022-09-04 16:30:00,M'gladbach,Mainz,0,1,A,2.23,3.7,3.08,1.68,2.21,1512.36,1526.97,-14.61,1.75,1.0,2,2,0,1.0,1.25,2,1,1,0,0,0,0.0,0.0
2022-09-09 19:30:00,Werder Bremen,Augsburg,0,1,A,1.54,4.58,5.7,1.57,2.44,1495.23,1473.67,21.56,2.4,2.0,2,2,1,0.6,2.0,1,0,4,0,0,0,0.0,0.0
2022-09-10 14:30:00,Bayern Munich,Stuttgart,2,2,D,1.16,8.66,16.09,1.23,4.19,1538.87,1488.03,50.85,3.4,0.6,3,2,0,0.8,1.0,0,4,1,0,0,0,0.0,0.0
2022-09-10 14:30:00,Ein Frankfurt,Wolfsburg,0,1,A,2.04,3.63,3.6,1.68,2.21,1499.93,1475.04,24.9,2.2,2.2,2,2,1,0.8,2.0,0,2,3,0,0,0,0.0,0.0
2022-09-10 14:30:00,Hertha,Leverkusen,2,2,D,3.64,4.0,1.93,1.53,2.52,1473.14,1462.19,10.95,0.8,1.2,1,1,3,1.2,1.8,1,0,4,0,0,0,0.0,0.0
2022-09-10 14:30:00,Hoffenheim,Mainz,4,1,H,2.3,3.61,3.01,1.68,2.21,1528.1,1511.35,16.75,1.6,1.2,3,0,2,1.0,1.0,3,1,1,0,0,0,0.0,0.0
2022-09-10 14:30:00,RB Leipzig,Dortmund,3,0,H,2.37,3.84,2.79,1.56,2.45,1503.68,1524.53,-20.85,1.2,1.8,1,2,2,1.6,0.8,4,0,1,0,0,0,0.0,0.0
2022-09-10 17:30:00,Schalke 04,Bochum,3,1,H,2.04,3.67,3.56,1.72,2.15,1486.91,1419.13,67.78,1.0,2.4,0,3,2,0.6,3.0,0,0,5,0,0,0,0.0,0.0
2022-09-11 14:30:00,FC Koln,Union Berlin,0,1,A,2.45,3.45,2.9,1.9,1.92,1510.86,1556.72,-45.86,2.0,1.2,2,3,0,2.4,0.8,3,2,0,0,0,0,0.0,0.0
